dc:modified	dc:created	dc:title	standard concept	xml:lang	reference	standard_code
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Subantarctic	4.3	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4.3	4.3	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Temperate	4.4	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4.4	4.4	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Subtropical/Tropical Dry Lowland	4.5	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4.5	4.5	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Subtropical/Tropical Seasonally Wet/Flooded Lowland	4.6	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4.6	4.6	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Subtropical/Tropical High Altitude	4.7	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	4.7	4.7	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Tundra Wetlands [includes pools and temporary waters from snowmelt]	5	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5	5	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	Wetlands	5	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Alpine Wetlands [includes temporary waters from snowmelt]	5.1	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.1	5.1	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Permanent Rivers/Streams/Creeks [includes waterfalls]	5.1	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Geothermal Wetlands	5.2	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.2	5.2	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Seasonal/Intermittent/Irregular Rivers/Streams/Creeks	5.2	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Permanent Inland Deltas	5.3	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.3	5.3	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Shrub Dominated Wetlands	5.3	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Permanent Saline, Brackish or Alkaline Lakes	5.4	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.4	5.4	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Bogs, Marshes, Swamps, Fens, Peatlands	5.4	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Seasonal/Intermittent Saline, Brackish or Alkaline Lakes and Flats	5.5	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.5	5.5	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:47+01:00	Permanent Freshwater Lakes	5.5	en	en	title
2009-08-03T15:52:48+01:00	2009-08-03T15:52:48+01:00	Permanent Saline, Brackish or Alkaline Marshes/Pools	5.6	en	en	title
2009-08-03T15:52:47+01:00	2009-08-03T15:52:47+01:00	5.6	5.6	en	en	title
